"English","Wolaytta"
"Speed up the work. We are late for lunch. %(syn) [toolliis,","sa'ay poo'ees."
"Bees make honey.","eessiis%1. transitive verb%► make honey %● Mattay eessees."
"People get honey from honey comb","honey %● Asay mattaa Hidaare aginan eessees."
"If you do an exam in haste, you may make","eesuwa darikko, balana danddayaasa."
"Haste causes someone to make","errors. %● Eesoy balaayyoo gaaso kiyees."
"Don't drive the","Don't forget to come here soon. %● Dirbban kaamiya laaggoppa!"
"The","eexxiis%1. intransitive verb%► burn, combust, be alight %● Tamay eexxees."
"The candle is still alight. %(syn)","fire burns. %● Muqaadday ha''ikka eexxees."
"Everybody deceives an","rash; reckless %● Eeyya asa oonninne cimmees."
"My son,","unintelligent person. %● Ta na'awu hayyanaa, eeyya na'adan hanoppa."
"political","eqotaa%1. noun%► company; organization; firm %● polotika eqotaa"
"teachers'","organization %► institution %● asttamaareta loohissiyo eqotaa"
"She soon realized","A mooruwa oottidoogaa guutta wodiyappe simmada eraagaasu."
"Nobody listens to him because","danddayenna, ayssi giikko, I eesuwan haasayees."
"Had I paid attention, I could have told you what you","yootanaagaa shin attiis."
"She refused to tell","%● A ba naatu bolla yiillotido gaasuwa, oda gin ixxaasu."
"voracious appetite%(syn) [habadiina, yora,","overeating man%● gadulla muussaa"
"While wrestling, he pushed his","banaara annaacettiyagaa gaganttidi oliis."
"He","opponent forcefully.%● I iyyoo qesiya oykkidi kare zaaridi gagantti oliis."
"Having spent the night in the","(nervously)%● Bitanee meeguwan aqidi gajigajiis."
"He","cold, he was trembling.%● I pudettaa kiyiidde daro daafuridi gajigajiis."
"The leather of cows and buffaloes is used to make shoes.%","oottanaw maaddees."
"People commit sins everyday.","oottees."
"He called for the communal labor to mow the","cakkanawu heeraa asaa denttettiis."
"Lions live on","tall grass.%► savanna; grassland%● Gaammoy gattattiyasan de'ees."
"He plows the","gatuwa%1. noun%► twosome; conjunction%● Booraa gatuwan goyees."
"fulfilling the vow","field in twosome.%► fulfilling%● shiiquwa gatuwa"
"rib bone","gaylliya%1. noun%► rib (side of body)%● gaylliya meqettaa"
"The ribs are a series of curved bones.%(syn)","maaran diya geella meqettaa."
"soccer team","gede kuwaasiya%1. noun%► soccer; football%● gede kuwaasiya citaa"
"American football and European football/soccer are very different","ispportte."
"Let's take an umbrella with us.","ekkidi boos. Geellidan bukkanawu danddayees."
"I am not very sure; I may go or I may not go.%","beennan agganawkka danddayays."
"Don't try to hide your mistake.","view%● Ne balaa genttanawu makkisoppa."
"The clouds hid the sun for a little","Shaaray awaa guutta wodiyassi genttiis."
"He","giddon%1. postposition%► among; between%● I neeppenne taappe giddon uttiis."
"This metal produces a harsh sound.","giirees."
"When the children threw stones at the corrugated sheets of iron, it","giiriis."
"I don't understand what","pronounce; rehearse; mean%● Ne giidoogee tawu gelenna."
"Hello!'' she said.%(syn) [haasayiis, doonaa","you said.%● A ""Haloo!"" gaasu."
"Your piece of cake looks bigger than mine.","gitatiyabaa malatees."
"Good parents are","respected%● Payya yelidaageti muletoo ba naatun gitatoosona."
"This is a long, boring work.%(syn) [combbiina, corbbiina,","golddodiina ooso."
"My dog","goodaa%1. noun%► chase; pursuit%● Ta kanay harbbaynnuwa goodaa dosees."
"Smoking seriously damages lungs.","keehi qohees."
"Being a coward is not","%● Goofine kiyiyoogee attuma asa eeshsha gidenna."
"When the bell rang, it swayed back and","wode, guyenne sinttawu goolattees."
"Being without work, he is inactive.","yuuyees."
"The final score of the football game was 2-","wurssettan 2nne 1 gooliyan wuriis."
"the pulling of a pillar","instance of being pulled%● tuussaa gooshaa"
"the earth's gravity","attraction%● biittaa gooshaa"
"I think he is mad.","displeasure or anger%● I gooyennan aggenna."
"He became crazy when he heard the sad news.%(syn)","siyidi gooyi aggiis."
"Due to smallpox,","gorddomaa%1. noun%► smallpox%● Gorddomaa gaasuwan, I qooqiis."
"Smallpox is a disease","he became blind.%● Gorddomay asa som""o mooriya hargge."
"The horse grazes on the","sit (for entertainment)%● Paray gorxxaa gaashees."
"Let's go and talk in our father's","gorxxan uttidi haasayana; hinddite."
"An agriculturist is an expert who advises farmers.","goshshanchchata zorees."
"An agronomist studies the relationship between crops and the","pilggees."
"A good farmer","of cultivating the land%● Lo""o goshshanchchay goshshaabaa erees."
"The cloth got wet because water had been spilled","gishshaw, maayuwa irxxissiis."
"The milk spilled from the jar.%(syn)","in it.%● Maattay xaaruwappe gukkiis."
"A newborn baby's umbilical cord","gul''aa geeshsha mulaacan qanxxanaw bessees."
"Addis Ababa is situated at the center of","Toophphiyassi gul""an de'ees."
"a paralyzed person","gundda%1. adjective%► paralyzed%● gundda bitaniya"
"Midget","shrunken (short or bent over)%● Gundda giyogee keehi qantta giyogaa."
"The calf contracted in the cold.","gunddi uttiis."
"Part of his body from the waste down was paralyzed.","gunddiis."
"She has a good","guuggiya%1. noun%► mind; brain%● Issi lo""o guuggee de'ees."
"If you come in the morning, you will meet the boss in the office.","gayttaasa."
"The master let him go home in the morning.","A halaqay guuran baanaadan anttiis."
"She has only a few friends.","xalaalay de'oosona."
"An important man was humiliated","uray wuuqqido miishshaara ohettidi guuxxiis."
"There is a school behind","%● Ta keettaappe guye baggaara tamaare keettay dees."
"See you later.","gayttana."
"The school is very far away from my house.%(syn) [zardda'iis]","haakkees."
"She seeks revenge for the murder of her husband.","haluwa kiyana koyawsu."
"I sought revenge for her misdeeds.%(syn)","mooruwayyoo haluwa kiyana koyaas."
"The man gorged on the food.","harbbuuqiis."
"She did the work quickly.","harbbuuqaasu."
"Mulberry is a kind of fruit bearing tree.","miyo mittaa qommo."
"Blackberries grow on thorny","Agunttaa bolli ayfiya henjjeeray 'blackbeeriya.'"
"That destitute woman cannot afford","yiiraassi maattaa shammanawu danddayukku."
"His father","to buy milk for her baby.%● A aaway miishshi baynna hiyyeesa asa."
"Thanks to God, our family rose from poverty to","duretettawu gakkidosona."
"Poverty thwarted those students' wishes to finish","hiyyeesatettay xubbiis."
"The new hospital, which was opened last year, has","naa""u xeetu indday, de'ees."
"When I was in the hospital, I became","zin""ida hargganchchaara keehi meezetaas."
"He informed me about the crime in","(in secret)%● I taayyoo danuwabaa huruuriis."
"She gave the baby a hug.","shuphphu oottaasu."
"butter dowry","in-law)%● idimaa oyssaa"
"We lick with our tongue.","inxxarssaa%1. noun%► tongue%● Inxxarssan laaccoos."
"He has a good speech ability.","speech ability%● Ayyoo lo''o inxxarssay dees."
"Heavy rain confines everyone","iraa%1. noun%► rain%● Balggo iray kare kessenna."
"A lot of people","at home during summer.%● Cora asay iraappe attiyosaa koyees."
"Do you have a pencil, please? I wanted to draw a picture.","medhdhana koyaas."
"Lead is a heavy soft gray metallic element.","elementte."
"You must have a lot of money to live luxurious life.","daro miishshaa koshshees."
"Everybody wishes for a comfortable life.","%● Ubba asay ishalo duussaa amottees."
"to live","ishatettaa%1. noun%► brotherhood%● sarotettaaninne ishatettan diyogaa"
"fraternity, love etc.","in peace and brotherhood%● ishatettaa, siiquwa h.h.m."
"Let me ask you","issibaa%1. pronoun%► something%● Ane ta nena issibaa oychchays."
"Due to the noise outside","diya kachchaappe denddidaagan tamaareti jallidosona."
"I gave her clear instructions repeatedly, but she was","jallidosona."
"The","kaa'ettiis%1. transitive verb%► be played%● Kaassay zino lo""o kaa'ettiis."
"She","game was played well yesterday.%► suffer%● A uunnuwan kaa'ettaydda dawusu."
"The","who gave birth recently)%● Keettaayyiya mati yelidaaro keettaaway kaaciis."
"It rained on the sown crop.","iray kaaciis."
"After his father","hayqqi simmin, I ba aayyiyo kaafana bessees shin attiis."
"A person without","kaafiya%1. noun%► support%● Kaafee baynna uri hiyeessa."
"College is expensive, so my family gave me a lot of support.%","kaafiya immiis."
"Zonal Information and Culture Department.","Wolaita."
"The shaman foretold the","Shareechchoy maccaaseessi sinttappe hananabaa kaayiis."
"The man did","future for the women.%● Bitanee bari baarigaaraa woranawu kayiis."
"The drunkard was hurt falling into the gorge.%(syn)","kakan kunddidi deshettiis."
"I","kalkkotiis%1. transitive verb%► waver%● Taani ta maachchan mule kalkkotikke."
"Please, don't be distracted from your work.","oosuwan kalkkotoppa."
"If you throw a broken piece of clay to the puppy, it will bark.","boccees."
"This female puppy seems its mother.%","kana mariya ba aayyiyo qucca ekkaasu."
"He came first; the others came later.","harati guyeppe yiidosona."
"If you come early, you will see them.%(syn) [mari","kasetada yiikko, eta be'ana."
"canine tooth","kasilaa%1. noun%► canine%● kasila achchaa"
"Dogs are canines.","de'ees."
"My sister was cooking in the kitchen while I was","taani nabbabaydda takkaas."
"Mother cooks lunch for us.%(syn)","reading.%● Aayyiya nuussi laaxaa kattawusu."
"The burden is easy to carry; it is not that","kawuyyees; hegaa keena deexxenna."
"rigid attitude%(syn) [binjjilla, qinjjilla, jinjjilla, zozza,","kebeela eeshshaa"
"When I was buying an ox my neighbor competed with me.","tana keesiis."
"I","auction%● Taani keettiyo shammana koyays shin issi bitanee tana keesees."
"How","keraa%1. noun%► rent%● Aginan aginan ha keettaassi woysa keraa qanxxay?"
"He does manual work in our village.","oottees."
"He called regarding the","yeehuwa kiitaa xeelliyagan silkkiya shociis."
"Please","kiluwa%1. noun%► kilo; kilogram%● Hayyanaa issi kilo muuzziya shamma."
"What does sugar cost per","buy a kilogram of bananas.%● Kilo sukkaaree woysee?"
"Swelling resulted when the boy","wodhdhin, assi meeshimeqettan kixay wodhdhiis."
"The doctor removed","twisted his ankle.%● Dottoree A som''uwappe kixaa diggiis."
"When I was two, I used to sit on my","gidiyode ta aayyee kiyuwan uttays."
"The mother held","mother's lap.%► bosom %● Aayyiya qeeri na'aa kiyuwan oyqqaasu."
"She baked the","komppiis%1. transitive verb%► make; bake%● A oyttaa komppaasu."
"The enemy burned his house.","cake.%► burn%● Genee A keettaa komppiis."
"Quit all unimportant habits; do only the","agga; koshshiyabata xalaala ootta."
"It is necessary","important ones.%● Xaafanawu ubbatoo nabbabiyogee koshshiyabaa."
"I have bought some cleaning materials for the kitchen.%(syn)","shammaas."
"The policeman liberated the thieves from prison.","birshshidi la'ayiis."
"The prisoners were","Qashettidaageeti lo""o eeshshaa gaasuwan la'a kiyidosona."
"After the 1975 Ethiopian revolution, rural land was given to the","imettiis."
"Inheriting land is a must for male child in some cultures.","attenabaa."
"They all received a","%● Eti huuphiyan huuphiyan 5000 bira laataa ekkidosona."
"If","lacuwa%1. noun%► flame%● Tamaa lacoy lambbaa gujjikko poddu giidi eexxees."
"The firemen tried to quench the flames","xuuggiya lacuwa toyssanawu malidosona."
"The children in the class are of equal ages.%(syn) [mala,","tamaare naati lagge."
"The sun burnt me in th","loshkkayiis]%► burn%● Maallado xalqqee tana lashiis."
"The policeman arrived as the criminals were going to loot the","gakkiis."
"I glanced briefly at him when he passed by my office.","ta A lem""i oottaas."
"I glanced at her from a distance.%(syn)","Taani O haahuwan lem''i oottaas."
"The stick from the wilted tree is flexible.%","mittaa xam''ay linqqilinqqees."
"The patient feels better today.%(syn) [paxiis,","Hargganchchay hachchi lo''iis."
"Spicy food ('loggomuwa') is prepared from butter, barley powder,","oosettees."
"Clean the clay jar.","for wedding or ceremonial days%● Loggomuwa shokka."
"The pickpocket was shaking with fear in","xaaciya sinttan kokkoriiddi takkiis."
"The policeman arrested the","front of the policeman.%● Xaacee looxiya oyqqiis."
"He learned","giddo abbaappe hefinttan de'iyo wode Inggillizettuwa luxiis."
"He","English while living overseas.%● I kaamiya waati laaggiyakkonne luxiis."
"I am a member of many associations in our village.","cora maabaratussi yara."
"Our","Nu maabaray layttan layttan yaa'aa shiiqanawu maacidi denddiis."
"miraculous cure%(syn) [garanttiya.]","amazing drama%● maalaaliya paxuwa"
"In olden days, boys used to be","wode attuma naati magilaalan qaxxarettees."
"A razor is sharper than a knife.","qarattees."
"The 'doro wat' was tasty.","Kutto woxee mal''o."
"Since sugar was added, the tea was delicious.%(syn)","gishshaw shayee mal''ees."
"Sugar flavors drinks and food.","mal''ettees."
"He embellished his story so much that","haasayay daro baggi worddo giyogaa mala."
"After many attempts, the student finally","tamaare na'ay hisaabiya ootti aggiis."
"The bandit","bewilder; bamboozle; confound%● Panggay zal""anchchaa manddiis."
"The robber threatened me.%(syn) [baabisiis, yashissiis,","manddidosona."
"The blood coagulated around the edge of the wound.%(syn)","me""iis/meqqiis."
"The government planned to create more jobs for the","medhdhanawu halchchiis."
"He drew a picture.","people.%► draw%● I misiliya medhdhiis."
"The nurse","using a razor%● Aakimee hargganchchaa huuphiya meeccidi meediis."
"It is","meeguwa%1. noun%► cold; chill%● Wolqqaama meegoy dees, tana kokkorssees."
"He is shivering in the cold.%","so cold, I am shivering.%● I meeguwan kokkorees."
"She came to Wolaita two years ago. She is","yaasu. Wolaytta wogaa meezetaasu."
"The cattle are","miizzaa%1. noun%► cattle; animal%● Miizzay dembban maataa mees."
"During the","grazing in the field.%● Bone mizzaa mizanawu, ayba maatinne baawa."
"The teacher encourages","shugo tamaare naata loytti xana''ana mala minttettees."
"The two tables are not of similar length.","gidenna."
"The two identical twins look like each other.","issuwara mise."
"He is good at drawing pictures. I have","gooba; daro lo""iya misileta medhdhiis."
"A quarter hour is fifteen minutes.","daqiiqay missa saate."
"I will come back at quarter past the hour.%(syn)","keenaa aattada simma aggana."
"The front legs of","limbed animal%● Medoosawu sintta tohoy missa geetettees."
"One-fourth of a hundred is twenty-","Issi xeetawu missay laatamanne ichchasha."
